TECNOLOGIA,IDADE,DATA_DE_ADESAO,LIGACOES_SUPORTE_ULTIMO_ANO,MEDIA_FATURA_MEDIA,TAXA_DE_CHURN
TELEFONE_FIXO,47,6/24/13 11:27,0,84,0.002
4G,74,7/2/12 11:27,4,55,0.059
4G,38,2/17/15 12:27,7,37,0.034
TELEFONE_MOVEL,19,9/28/10 11:27,0,105,0.006
4G,16,9/29/15 11:27,7,26,0.012
4G,47,10/6/13 11:27,1,32,0.026
4G,19,8/5/14 11:27,3,28,0.037
4G,50,3/3/11 12:27,0,101,0.009
FIBRA,8,2/1/12 12:27,1,49,0.04
TELEFONE_MOVEL,3,5/11/13 11:27,1,37,0.018
4G,33,10/28/11 11:27,0,18,0.043
4G,7,11/30/11 12:27,1,42,0.036
TELEFONE_MOVEL,8,8/9/12 11:27,0,72,0.006
TELEFONE_MOVEL,54,5/31/11 11:27,1,77,0.015
FIBRA,4,3/9/11 12:27,0,102,0.012
TELEFONE_FIXO,40,1/22/13 12:27,9,37,0.049
TELEFONE_MOVEL,18,3/24/15 12:27,0,104,0.001
TELEFONE_MOVEL,14,3/28/13 12:27,0,109,0.003
TELEFONE_MOVEL,52,2/10/11 12:27,2,28,0.065
TELEFONE_FIXO,23,12/23/11 12:27,0,106,0.002
TELEFONE_MOVEL,35,6/27/11 11:27,1,98,0.012
4G,73,9/15/10 11:27,0,101,0.01
4G,16,5/16/12 11:27,3,60,0.045
TELEFONE_MOVEL,66,10/31/13 12:27,0,51,0.005
TELEFONE_MOVEL,36,2/17/15 12:27,0,13,0.008
FIBRA,18,8/12/10 11:27,0,70,0.019
TELEFONE_MOVEL,18,5/20/14 11:27,0,55,0.004
TELEFONE_MOVEL,54,11/27/15 12:27,5,71,0
4G,79,10/2/11 11:27,0,106,0.008
FIBRA,35,4/30/15 11:27,0,85,0.002
TELEFONE_FIXO,15,6/28/15 11:27,0,58,0.001
4G,16,11/24/13 12:27,0,55,0.007
TELEFONE_FIXO,32,4/7/13 11:27,0,20,0.008
4G,22,5/21/13 11:27,8,104,0.042
4G,38,6/27/15 11:27,0,14,0.006
TELEFONE_FIXO,37,12/30/14 12:27,2,84,0.002
TELEFONE_MOVEL,34,11/27/12 12:27,0,15,0.026
4G,42,1/5/14 12:27,0,29,0.013
FIBRA,59,1/15/15 12:27,3,51,0.018
4G,26,5/29/13 11:27,1,89,0.011
TELEFONE_MOVEL,75,8/2/10 11:27,0,28,0.024
TELEFONE_FIXO,67,7/20/14 11:27,1,88,0.002
TELEFONE_MOVEL,56,11/25/11 12:27,8,40,0.115
TELEFONE_FIXO,31,6/29/10 11:27,1,93,0.007
TELEFONE_MOVEL,20,12/11/11 12:27,0,72,0.007
4G,17,10/16/10 11:27,0,77,0.013
TELEFONE_MOVEL,47,3/3/13 12:27,0,98,0.004
4G,69,11/14/15 12:27,5,68,0.001
TELEFONE_MOVEL,60,2/23/11 12:27,0,39,0.016
TELEFONE_FIXO,3,7/1/13 11:27,0,72,0.002
TELEFONE_MOVEL,1,7/2/12 11:27,4,19,0.115
TELEFONE_MOVEL,6,1/10/14 12:27,0,76,0.003
TELEFONE_FIXO,50,4/14/14 11:27,0,69,0.002
4G,28,9/21/12 11:27,1,66,0.019
TELEFONE_MOVEL,71,12/18/10 12:27,1,52,0.024
4G,43,8/17/12 11:27,0,96,0.007
TELEFONE_FIXO,64,12/2/15 12:27,0,68,0
TELEFONE_FIXO,66,10/1/11 11:27,0,105,0.003
TELEFONE_MOVEL,67,4/7/14 11:27,0,74,0.003
4G,18,2/14/12 12:27,1,86,0.017
TELEFONE_MOVEL,14,4/3/15 11:27,4,55,0.008
4G,1,6/8/15 11:27,1,50,0.004
TELEFONE_MOVEL,3,4/16/15 11:27,2,89,0.003
TELEFONE_MOVEL,16,3/8/14 12:27,4,33,0.034
FIBRA,74,1/11/15 12:27,2,104,0.007
4G,40,6/6/14 11:27,1,61,0.009
TELEFONE_MOVEL,67,12/4/11 12:27,0,17,0.03
4G,74,1/3/12 12:27,4,77,0.049
TELEFONE_MOVEL,61,9/7/11 11:27,5,50,0.065
4G,4,5/9/14 11:27,0,98,0.003
FIBRA,75,3/30/12 11:27,2,83,0.034
FIBRA,14,3/13/12 12:27,1,58,0.033
4G,46,10/9/12 11:27,2,63,0.029
TELEFONE_FIXO,9,10/7/12 11:27,6,88,0.016
4G,30,10/4/15 11:27,3,46,0.003
4G,12,11/23/10 12:27,5,104,0.055
TELEFONE_MOVEL,44,4/23/14 11:27,0,99,0.002
TELEFONE_FIXO,78,7/17/13 11:27,0,82,0.002
4G,47,10/22/15 11:27,1,34,0.002
TELEFONE_MOVEL,28,1/22/12 12:27,1,50,0.02
TELEFONE_FIXO,34,3/17/14 12:27,3,57,0.008
4G,29,8/4/14 11:27,0,89,0.003
TELEFONE_FIXO,67,10/13/12 11:27,1,43,0.009
FIBRA,31,3/19/14 12:27,0,88,0.005
TELEFONE_MOVEL,1,9/29/13 11:27,1,33,0.017
TELEFONE_MOVEL,38,6/26/13 11:27,0,89,0.003
TELEFONE_MOVEL,61,2/2/14 12:27,3,94,0.01
TELEFONE_MOVEL,55,8/29/11 11:27,0,70,0.008
TELEFONE_MOVEL,23,11/30/15 12:27,9,92,0.001
FIBRA,19,2/28/13 12:27,0,12,0.059
TELEFONE_FIXO,11,7/9/13 11:27,1,94,0.003
TELEFONE_MOVEL,57,4/30/13 11:27,2,88,0.011
TELEFONE_FIXO,72,11/7/15 12:27,5,10,0.004
TELEFONE_FIXO,27,8/25/12 11:27,2,24,0.026
4G,18,2/27/12 12:27,1,66,0.022
4G,10,4/3/14 11:27,0,45,0.007
FIBRA,61,7/31/14 11:27,2,36,0.029
TELEFONE_MOVEL,31,5/28/13 11:27,0,83,0.004
FIBRA,54,11/24/12 12:27,8,61,0.114
TELEFONE_FIXO,6,9/17/12 11:27,5,45,0.027
TELEFONE_MOVEL,75,5/14/14 11:27,0,62,0.003
FIBRA,50,6/17/12 11:27,6,90,0.069
TELEFONE_FIXO,37,12/10/12 12:27,3,54,0.014
TELEFONE_FIXO,6,1/10/14 12:27,0,59,0.002
4G,21,1/14/13 12:27,3,49,0.045
TELEFONE_FIXO,5,1/24/14 12:27,0,43,0.003
TELEFONE_FIXO,14,8/19/15 11:27,8,48,0.004
TELEFONE_MOVEL,34,5/7/14 11:27,1,64,0.006
TELEFONE_FIXO,80,11/20/13 12:27,0,78,0.002
4G,7,12/5/13 12:27,0,70,0.005
TELEFONE_MOVEL,11,1/14/12 12:27,0,97,0.005
TELEFONE_MOVEL,74,1/26/12 12:27,0,110,0.004
TELEFONE_FIXO,46,10/15/12 11:27,1,56,0.007
TELEFONE_FIXO,8,10/11/12 11:27,0,52,0.004
TELEFONE_MOVEL,29,2/14/12 12:27,0,56,0.009
4G,63,9/2/13 11:27,0,59,0.007
FIBRA,5,3/3/12 12:27,0,76,0.013
TELEFONE_MOVEL,49,9/22/14 11:27,8,33,0.042
TELEFONE_FIXO,56,11/29/14 12:27,4,19,0.017
4G,32,2/18/15 12:27,6,98,0.011
4G,1,8/24/13 11:27,2,101,0.013
4G,12,1/28/12 12:27,0,73,0.01
TELEFONE_FIXO,32,3/13/14 12:27,0,21,0.005
TELEFONE_FIXO,62,10/8/10 11:27,1,86,0.008
FIBRA,1,9/20/13 11:27,0,73,0.008
TELEFONE_MOVEL,66,2/19/14 12:27,1,48,0.01
4G,64,9/7/12 11:27,0,66,0.009
TELEFONE_MOVEL,44,11/22/11 12:27,1,44,0.023
TELEFONE_MOVEL,69,5/11/12 11:27,6,21,0.151
4G,31,11/4/13 12:27,0,54,0.007
TELEFONE_FIXO,39,1/20/12 12:27,8,78,0.028
FIBRA,78,8/29/11 11:27,0,23,0.047
TELEFONE_FIXO,24,10/14/13 11:27,0,33,0.004
TELEFONE_MOVEL,12,7/8/15 11:27,5,78,0.004
4G,33,5/14/15 11:27,1,26,0.009
TELEFONE_FIXO,55,3/12/13 12:27,3,47,0.015
TELEFONE_MOVEL,52,7/31/12 11:27,1,17,0.05
TELEFONE_MOVEL,13,11/16/15 12:27,5,69,0.001
4G,7,10/3/13 11:27,7,86,0.039
4G,1,3/2/15 12:27,1,78,0.004
TELEFONE_FIXO,68,1/16/11 12:27,0,61,0.005
FIBRA,28,6/24/14 11:27,1,83,0.009
4G,68,9/8/15 11:27,1,41,0.002
4G,60,6/13/11 11:27,0,53,0.016
TELEFONE_MOVEL,24,5/21/13 11:27,5,25,0.078
FIBRA,35,9/22/11 11:27,9,87,0.123
TELEFONE_MOVEL,49,12/20/14 12:27,3,15,0.033
4G,44,4/13/12 11:27,4,41,0.085
TELEFONE_FIXO,69,9/17/12 11:27,0,79,0.003
TELEFONE_MOVEL,70,7/9/14 11:27,1,59,0.006
TELEFONE_MOVEL,17,8/17/12 11:27,5,64,0.039
4G,50,1/9/14 12:27,2,69,0.016
TELEFONE_MOVEL,40,5/20/13 11:27,0,100,0.003
4G,78,9/12/15 11:27,5,80,0.004
TELEFONE_FIXO,58,9/22/13 11:27,1,91,0.003
4G,30,8/26/12 11:27,4,106,0.029
TELEFONE_MOVEL,23,12/23/10 12:27,1,89,0.014
FIBRA,52,9/23/11 11:27,2,90,0.036
FIBRA,57,3/30/14 11:27,1,20,0.043
4G,54,2/3/14 12:27,6,54,0.046
TELEFONE_MOVEL,53,4/28/11 11:27,6,79,0.052
4G,46,12/5/12 12:27,6,81,0.049
FIBRA,22,9/28/13 11:27,3,21,0.106
TELEFONE_FIXO,20,10/21/12 11:27,1,22,0.018
TELEFONE_MOVEL,13,3/27/12 11:27,0,17,0.028
TELEFONE_FIXO,30,11/26/14 12:27,1,85,0.002
TELEFONE_FIXO,7,9/24/14 11:27,2,70,0.003
FIBRA,35,8/30/12 11:27,5,82,0.061
TELEFONE_MOVEL,16,7/23/15 11:27,3,76,0.003
TELEFONE_FIXO,68,5/23/12 11:27,2,65,0.01
TELEFONE_MOVEL,65,4/30/13 11:27,0,70,0.005
TELEFONE_MOVEL,28,3/6/11 12:27,2,57,0.032
4G,16,2/8/13 12:27,0,92,0.006
FIBRA,27,9/8/12 11:27,2,36,0.069
4G,76,7/2/10 11:27,0,89,0.012
TELEFONE_MOVEL,77,9/21/12 11:27,1,33,0.025
TELEFONE_FIXO,20,3/1/13 12:27,2,27,0.02
4G,32,6/14/12 11:27,0,12,0.055
TELEFONE_MOVEL,11,10/26/13 11:27,1,56,0.01
TELEFONE_MOVEL,22,8/17/14 11:27,2,89,0.006
4G,7,12/24/12 12:27,5,11,0.307
TELEFONE_MOVEL,4,6/14/11 11:27,0,23,0.025
4G,70,7/25/14 11:27,4,108,0.012
TELEFONE_MOVEL,59,6/16/14 11:27,1,89,0.004
TELEFONE_MOVEL,70,5/24/12 11:27,3,95,0.019
TELEFONE_MOVEL,18,10/11/15 11:27,1,68,0.001
TELEFONE_MOVEL,6,5/11/14 11:27,9,80,0.025
TELEFONE_MOVEL,17,10/18/12 11:27,4,45,0.044
TELEFONE_MOVEL,47,7/18/14 11:27,2,72,0.007
4G,51,7/1/14 11:27,1,27,0.02
TELEFONE_FIXO,41,10/26/10 11:27,1,79,0.008
4G,65,9/23/11 11:27,9,110,0.073
TELEFONE_MOVEL,40,6/9/13 11:27,1,91,0.007
FIBRA,70,5/31/15 11:27,0,15,0.009
FIBRA,67,5/10/13 11:27,1,103,0.013
4G,39,8/27/15 11:27,0,60,0.001
4G,26,8/27/11 11:27,0,99,0.008
TELEFONE_MOVEL,41,5/11/14 11:27,5,53,0.023
4G,79,11/4/12 12:27,0,66,0.009
TELEFONE_FIXO,48,9/2/10 11:27,0,39,0.009
4G,78,12/8/12 12:27,0,85,0.007
FIBRA,50,12/20/14 12:27,1,19,0.026
4G,35,7/23/13 11:27,2,46,0.03
4G,50,10/5/12 11:27,3,25,0.097
FIBRA,63,11/20/11 12:27,1,91,0.023
TELEFONE_FIXO,68,9/29/13 11:27,7,68,0.016
FIBRA,44,10/9/12 11:27,1,70,0.023
TELEFONE_MOVEL,54,1/25/13 12:27,0,56,0.006
TELEFONE_MOVEL,47,12/13/14 12:27,0,101,0.001
TELEFONE_MOVEL,54,11/24/12 12:27,5,22,0.105
4G,73,5/26/15 11:27,0,84,0.001
FIBRA,70,9/1/12 11:27,0,47,0.018
4G,8,9/14/13 11:27,0,44,0.01
4G,75,11/14/12 12:27,0,99,0.006
4G,75,12/15/14 12:27,0,36,0.005
FIBRA,29,6/5/15 11:27,0,66,0.002
FIBRA,7,3/28/14 12:27,0,21,0.021
TELEFONE_MOVEL,14,1/30/11 12:27,1,84,0.015
TELEFONE_MOVEL,46,10/14/14 11:27,0,28,0.005
4G,42,9/7/12 11:27,5,39,0.095
4G,29,9/10/15 11:27,0,49,0.001
4G,20,4/8/14 11:27,2,49,0.02
TELEFONE_MOVEL,20,11/25/13 12:27,0,109,0.002
4G,76,1/16/13 12:27,0,18,0.031
4G,17,11/3/14 12:27,2,57,0.011
4G,41,4/28/13 11:27,2,97,0.015
4G,32,8/21/14 11:27,0,52,0.005
TELEFONE_MOVEL,53,12/4/10 12:27,4,16,0.198
FIBRA,69,5/18/13 11:27,3,77,0.034
4G,1,11/22/12 12:27,3,27,0.086
4G,7,5/16/15 11:27,0,24,0.005
4G,69,5/19/13 11:27,0,61,0.008
4G,39,4/1/14 11:27,5,46,0.042
TELEFONE_FIXO,22,12/16/10 12:27,1,34,0.019
TELEFONE_MOVEL,19,4/20/14 11:27,0,88,0.002
TELEFONE_MOVEL,7,3/15/12 12:27,1,57,0.017
4G,17,7/28/14 11:27,6,65,0.028
4G,47,7/4/14 11:27,0,103,0.003
4G,16,3/2/12 12:27,0,68,0.011
4G,17,6/18/12 11:27,1,101,0.013
TELEFONE_MOVEL,25,6/19/13 11:27,7,81,0.031
FIBRA,57,7/23/11 11:27,1,97,0.023
4G,48,10/2/10 11:27,3,95,0.041
TELEFONE_FIXO,50,11/26/10 12:27,5,71,0.027
TELEFONE_MOVEL,35,1/22/15 12:27,1,97,0.002
4G,60,6/10/14 11:27,1,29,0.02
TELEFONE_MOVEL,15,9/18/10 11:27,6,26,0.178
FIBRA,31,7/16/12 11:27,4,19,0.227
TELEFONE_MOVEL,44,4/11/13 11:27,8,103,0.03
TELEFONE_MOVEL,61,1/31/12 12:27,1,74,0.013
TELEFONE_MOVEL,2,5/12/11 11:27,1,94,0.012
4G,80,10/5/14 11:27,0,64,0.004
FIBRA,32,1/21/12 12:27,3,40,0.098
FIBRA,73,6/5/15 11:27,1,89,0.003
TELEFONE_MOVEL,57,10/11/11 11:27,0,11,0.048
FIBRA,50,7/30/15 11:27,0,46,0.002
FIBRA,4,7/13/10 11:27,5,89,0.092
FIBRA,59,7/25/13 11:27,2,28,0.065
FIBRA,35,9/28/12 11:27,2,99,0.025
TELEFONE_FIXO,80,3/27/13 12:27,8,104,0.015
4G,13,1/21/11 12:27,2,57,0.049
FIBRA,66,10/12/13 11:27,0,65,0.008
FIBRA,21,4/30/11 11:27,0,41,0.028
TELEFONE_MOVEL,75,4/15/13 11:27,1,23,0.029
4G,78,4/12/12 11:27,3,25,0.111
TELEFONE_MOVEL,31,3/29/14 12:27,0,79,0.003
4G,78,11/4/13 12:27,8,109,0.033
4G,54,11/16/11 12:27,3,35,0.088
TELEFONE_MOVEL,15,1/15/13 12:27,1,40,0.018
TELEFONE_MOVEL,8,6/22/13 11:27,1,46,0.014
TELEFONE_MOVEL,59,3/12/15 12:27,0,109,0.001
FIBRA,52,1/23/15 12:27,1,76,0.006
TELEFONE_MOVEL,57,1/21/13 12:27,1,57,0.013
FIBRA,2,3/31/15 11:27,7,34,0.042
4G,1,2/10/15 12:27,0,30,0.005
TELEFONE_MOVEL,54,10/6/11 11:27,7,63,0.067
TELEFONE_FIXO,35,8/21/11 11:27,0,102,0.003
TELEFONE_FIXO,75,2/17/11 12:27,1,98,0.006
4G,7,10/24/15 11:27,0,58,0
4G,26,5/6/11 11:27,5,103,0.051
FIBRA,74,9/13/10 11:27,2,35,0.114
FIBRA,56,5/27/11 11:27,2,98,0.035
TELEFONE_MOVEL,54,5/17/14 11:27,2,31,0.019
TELEFONE_FIXO,0,5/12/14 11:27,1,55,0.004
TELEFONE_MOVEL,62,11/8/11 12:27,1,47,0.022
FIBRA,47,2/11/14 12:27,5,78,0.036
TELEFONE_MOVEL,63,1/24/15 12:27,0,61,0.002
FIBRA,8,1/12/15 12:27,4,36,0.032
4G,66,3/8/14 12:27,0,19,0.018
FIBRA,59,11/18/14 12:27,7,67,0.032
FIBRA,62,4/14/14 11:27,0,82,0.005
TELEFONE_MOVEL,77,9/14/15 11:27,3,84,0.001
FIBRA,20,1/22/15 12:27,7,95,0.019
4G,50,9/6/15 11:27,1,77,0.001
TELEFONE_MOVEL,9,6/2/11 11:27,0,68,0.008
4G,42,7/16/15 11:27,1,27,0.006
TELEFONE_MOVEL,66,1/29/12 12:27,5,98,0.03
TELEFONE_FIXO,14,10/31/15 12:27,3,65,0
FIBRA,12,10/26/10 11:27,1,105,0.025
4G,68,10/9/12 11:27,2,33,0.055
TELEFONE_FIXO,17,1/7/12 12:27,8,29,0.077
TELEFONE_MOVEL,75,12/12/13 12:27,0,101,0.003
4G,25,8/28/10 11:27,3,63,0.064
TELEFONE_FIXO,41,9/23/12 11:27,4,92,0.011
TELEFONE_MOVEL,16,3/15/11 12:27,2,42,0.043
TELEFONE_FIXO,64,8/20/12 11:27,1,106,0.004
FIBRA,66,5/2/13 11:27,0,35,0.019
TELEFONE_MOVEL,52,8/24/10 11:27,9,45,0.149
4G,14,6/8/13 11:27,0,98,0.005
FIBRA,7,5/3/12 11:27,4,29,0.157
4G,8,1/27/14 12:27,1,55,0.013
4G,71,11/19/11 12:27,2,73,0.032
FIBRA,19,10/2/12 11:27,1,91,0.018
4G,73,2/18/13 12:27,2,72,0.022
4G,20,8/31/13 11:27,0,92,0.005
TELEFONE_MOVEL,9,3/6/12 12:27,1,56,0.017
TELEFONE_MOVEL,8,10/18/14 11:27,1,85,0.003
4G,41,5/19/14 11:27,5,26,0.069
4G,17,4/6/13 11:27,1,82,0.012
4G,57,10/8/12 11:27,0,39,0.015
TELEFONE_FIXO,21,10/30/10 11:27,1,44,0.015
TELEFONE_MOVEL,72,10/25/10 11:27,0,48,0.014
FIBRA,73,3/10/12 12:27,0,84,0.011
4G,47,5/29/14 11:27,10,84,0.038
TELEFONE_MOVEL,24,4/7/15 11:27,3,41,0.008
FIBRA,40,6/2/13 11:27,2,84,0.023
TELEFONE_FIXO,75,10/30/13 12:27,2,14,0.029
4G,43,8/14/13 11:27,9,25,0.177
4G,22,10/23/14 11:27,5,20,0.065
TELEFONE_MOVEL,34,4/2/15 11:27,1,53,0.003
4G,64,9/2/15 11:27,1,17,0.006
TELEFONE_FIXO,54,8/3/12 11:27,0,33,0.006
4G,31,1/21/12 12:27,1,11,0.134
TELEFONE_MOVEL,5,10/29/14 12:27,1,10,0.028
4G,58,11/17/15 12:27,3,78,0.001
TELEFONE_MOVEL,69,1/7/11 12:27,1,59,0.021
FIBRA,18,6/29/13 11:27,1,82,0.015
TELEFONE_MOVEL,58,2/17/12 12:27,9,47,0.103
TELEFONE_MOVEL,42,6/26/13 11:27,3,70,0.018
4G,48,6/14/11 11:27,1,40,0.043
TELEFONE_MOVEL,51,9/11/10 11:27,0,42,0.016
4G,20,11/2/11 12:27,5,12,0.39
4G,31,8/22/14 11:27,0,44,0.006
FIBRA,61,10/25/13 11:27,3,60,0.036
4G,13,2/21/11 12:27,2,55,0.05
TELEFONE_MOVEL,11,7/9/11 11:27,0,29,0.019
TELEFONE_MOVEL,21,1/24/14 12:27,0,57,0.004
4G,61,5/31/14 11:27,2,90,0.01
4G,80,8/3/13 11:27,4,28,0.08
FIBRA,26,7/22/15 11:27,2,28,0.011
TELEFONE_FIXO,39,1/28/12 12:27,10,35,0.077
4G,43,1/2/11 12:27,6,84,0.078
4G,51,3/25/12 11:27,4,87,0.04
FIBRA,17,3/22/13 12:27,0,30,0.023
TELEFONE_FIXO,51,12/14/13 12:27,0,92,0.001
TELEFONE_MOVEL,78,1/11/15 12:27,0,56,0.002
FIBRA,37,9/6/13 11:27,0,22,0.026
FIBRA,64,10/5/13 11:27,1,104,0.011
FIBRA,76,6/20/12 11:27,0,69,0.013
TELEFONE_MOVEL,39,12/7/12 12:27,6,56,0.048
4G,27,3/7/11 12:27,3,18,0.201
TELEFONE_FIXO,67,3/18/12 12:27,2,71,0.01
TELEFONE_MOVEL,22,6/28/11 11:27,0,25,0.023
4G,18,5/25/13 11:27,9,51,0.095
TELEFONE_FIXO,43,1/30/13 12:27,0,45,0.004
4G,47,1/8/11 12:27,0,26,0.036
4G,77,1/9/12 12:27,5,33,0.135
4G,37,6/19/15 11:27,1,18,0.01
FIBRA,52,5/29/14 11:27,0,73,0.005
4G,4,8/28/12 11:27,3,58,0.043
TELEFONE_FIXO,52,6/2/11 11:27,0,20,0.014
TELEFONE_FIXO,11,5/16/13 11:27,0,99,0.002
4G,11,1/17/14 12:27,1,59,0.012
4G,31,2/4/11 12:27,2,50,0.055
FIBRA,49,12/14/12 12:27,1,40,0.038
4G,58,9/4/14 11:27,1,82,0.006
4G,51,5/19/11 11:27,1,80,0.022
FIBRA,70,1/18/12 12:27,0,11,0.09
TELEFONE_MOVEL,39,9/15/14 11:27,1,85,0.004
TELEFONE_MOVEL,22,2/9/15 12:27,2,60,0.005
FIBRA,68,11/30/15 12:27,0,79,0
TELEFONE_MOVEL,24,9/24/14 11:27,1,92,0.003
4G,3,8/6/14 11:27,0,37,0.007
TELEFONE_FIXO,15,1/31/12 12:27,0,61,0.004
TELEFONE_FIXO,59,4/30/12 11:27,3,85,0.011
TELEFONE_MOVEL,4,2/28/14 12:27,0,65,0.003
TELEFONE_MOVEL,68,10/7/13 11:27,0,80,0.003
4G,6,9/30/10 11:27,1,56,0.035
4G,69,11/19/11 12:27,0,48,0.016
TELEFONE_MOVEL,22,7/12/11 11:27,0,69,0.008
TELEFONE_MOVEL,65,10/7/14 11:27,0,56,0.003
TELEFONE_MOVEL,17,9/8/14 11:27,0,22,0.007
FIBRA,5,10/28/11 11:27,1,17,0.123
TELEFONE_MOVEL,37,5/1/13 11:27,2,77,0.013
TELEFONE_MOVEL,37,1/16/12 12:27,0,62,0.008
4G,10,7/9/11 11:27,4,103,0.041
TELEFONE_MOVEL,48,1/21/11 12:27,4,105,0.029
4G,50,5/21/14 11:27,0,103,0.003
TELEFONE_MOVEL,0,12/19/14 12:27,2,22,0.017
TELEFONE_FIXO,29,1/6/11 12:27,0,88,0.004
4G,15,1/11/15 12:27,0,22,0.008
TELEFONE_MOVEL,76,6/13/11 11:27,2,40,0.043
TELEFONE_FIXO,18,3/31/14 11:27,0,48,0.002
4G,67,10/8/12 11:27,2,35,0.052
4G,75,2/26/11 12:27,0,101,0.009
TELEFONE_FIXO,6,11/15/13 12:27,0,34,0.004
FIBRA,10,8/21/10 11:27,3,66,0.081
TELEFONE_FIXO,73,3/31/12 11:27,9,73,0.032
TELEFONE_MOVEL,53,12/12/15 12:27,1,71,0
FIBRA,40,11/11/12 12:27,1,82,0.019
TELEFONE_FIXO,63,5/6/14 11:27,0,91,0.001
TELEFONE_MOVEL,4,6/22/15 11:27,2,66,0.003
FIBRA,61,10/15/15 11:27,2,71,0.002
4G,77,4/20/13 11:27,4,96,0.026
4G,54,2/2/12 12:27,0,109,0.007
4G,3,12/4/10 12:27,1,36,0.053
TELEFONE_FIXO,72,6/29/12 11:27,2,104,0.006
TELEFONE_FIXO,3,2/21/12 12:27,0,93,0.003
4G,53,7/16/12 11:27,1,16,0.081
TELEFONE_FIXO,63,7/13/13 11:27,1,45,0.007
4G,74,7/4/13 11:27,0,41,0.011
4G,31,8/11/13 11:27,1,53,0.017
4G,28,4/25/14 11:27,0,102,0.003
TELEFONE_MOVEL,65,11/6/14 12:27,3,80,0.007
4G,74,8/16/10 11:27,1,77,0.026
4G,46,8/12/15 11:27,2,27,0.007
FIBRA,16,5/21/14 11:27,10,53,0.082
TELEFONE_MOVEL,33,6/4/13 11:27,0,88,0.004
4G,12,3/13/15 12:27,2,39,0.011
TELEFONE_MOVEL,42,1/19/13 12:27,0,12,0.03
TELEFONE_MOVEL,73,5/10/13 11:27,1,55,0.012
TELEFONE_MOVEL,47,4/17/11 11:27,0,42,0.014
TELEFONE_MOVEL,12,1/12/12 12:27,0,14,0.035
TELEFONE_MOVEL,9,11/15/15 12:27,1,55,0
4G,41,2/19/13 12:27,0,64,0.008
4G,76,8/3/14 11:27,0,90,0.003
TELEFONE_FIXO,22,1/24/15 12:27,0,46,0.001
TELEFONE_MOVEL,46,12/14/13 12:27,4,40,0.032
TELEFONE_MOVEL,20,2/1/12 12:27,0,82,0.006
TELEFONE_FIXO,36,1/8/11 12:27,1,42,0.015
FIBRA,29,7/23/11 11:27,0,89,0.012
TELEFONE_MOVEL,51,3/8/12 12:27,1,67,0.014
TELEFONE_FIXO,8,4/23/15 11:27,2,52,0.002
TELEFONE_MOVEL,4,6/6/14 11:27,0,58,0.003
TELEFONE_MOVEL,63,11/2/12 12:27,1,91,0.009
TELEFONE_MOVEL,67,3/20/11 12:27,1,65,0.018
4G,23,9/25/11 11:27,9,38,0.21
TELEFONE_FIXO,45,6/29/13 11:27,0,89,0.002
TELEFONE_MOVEL,38,7/22/12 11:27,0,78,0.005
FIBRA,27,1/28/15 12:27,0,67,0.003
4G,57,9/8/14 11:27,5,101,0.014
TELEFONE_FIXO,12,11/16/12 12:27,4,22,0.044
TELEFONE_MOVEL,74,6/5/14 11:27,0,87,0.002
FIBRA,76,5/2/12 11:27,0,40,0.023
TELEFONE_FIXO,48,6/5/11 11:27,9,42,0.068
TELEFONE_FIXO,67,8/30/12 11:27,0,60,0.003
TELEFONE_MOVEL,45,5/9/12 11:27,6,70,0.045
TELEFONE_MOVEL,49,11/23/15 12:27,0,84,0
TELEFONE_MOVEL,71,10/27/15 12:27,2,82,0.001
4G,53,11/26/11 12:27,0,99,0.008
TELEFONE_FIXO,28,7/14/14 11:27,9,58,0.015
FIBRA,21,7/12/11 11:27,2,86,0.039
TELEFONE_FIXO,10,11/4/14 12:27,2,96,0.002
4G,16,5/22/13 11:27,0,106,0.005
TELEFONE_FIXO,44,8/31/12 11:27,1,22,0.019
FIBRA,41,8/19/15 11:27,5,106,0.005
TELEFONE_MOVEL,78,1/2/15 12:27,1,21,0.011
TELEFONE_MOVEL,19,1/22/15 12:27,10,28,0.044
4G,32,8/22/12 11:27,1,109,0.012
4G,79,5/12/14 11:27,8,55,0.049
TELEFONE_MOVEL,1,3/18/14 12:27,0,50,0.004
TELEFONE_FIXO,14,11/22/10 12:27,0,52,0.006
FIBRA,30,4/20/15 11:27,0,88,0.002
TELEFONE_FIXO,68,5/8/14 11:27,1,22,0.009
4G,60,2/19/15 12:27,1,31,0.01
4G,43,4/1/14 11:27,2,104,0.009
TELEFONE_FIXO,36,10/8/13 11:27,0,24,0.006
TELEFONE_MOVEL,42,10/18/10 11:27,9,82,0.079
TELEFONE_FIXO,58,9/9/13 11:27,6,74,0.014
4G,76,7/15/15 11:27,1,75,0.002
4G,31,6/4/11 11:27,0,71,0.012
FIBRA,6,7/9/14 11:27,4,95,0.019
TELEFONE_MOVEL,64,7/18/12 11:27,0,23,0.019
4G,78,4/20/15 11:27,2,70,0.005
TELEFONE_MOVEL,61,6/21/13 11:27,4,15,0.104
4G,1,3/15/12 12:27,0,108,0.007
TELEFONE_MOVEL,1,11/15/15 12:27,1,40,0.001
4G,61,5/6/12 11:27,0,109,0.006
TELEFONE_FIXO,56,2/26/15 12:27,0,71,0.001
4G,39,6/29/13 11:27,1,39,0.024
TELEFONE_MOVEL,31,1/17/13 12:27,0,80,0.005
